Review,cleaned_review,predicted_rating
The burger patty was cooked to perfection.,burger patty cooked perfection,1
The restaurant had a cozy and inviting atmosphere.,restaurant cozy inviting atmosphere,1
The salad was fresh and delicious.,salad fresh delicious,1
The fries were too salty.,fry salty,0
The staff was quick to resolve an issue with my order.,staff quick resolve issue order,1
The restaurant was clean and well-maintained.,restaurant clean well maintained,1
The ice cream machine was broken.,ice cream machine broken,0
The restaurant had a great view.,restaurant great view,1
The chicken sandwich was a bit greasy.,chicken sandwich bit greasy,0
The coffee was hot and flavorful.,coffee hot flavorful,1
The restaurant had a fun and lively atmosphere.,restaurant fun lively atmosphere,1
The burger had a delicious sauce.,burger delicious sauce,1
The staff was unhelpful and dismissive.,staff unhelpful dismissive,0
The restaurant had a diverse menu with unique options.,restaurant diverse menu unique option,0
The chicken nuggets were a bit dry.,chicken nugget bit dry,0
The staff was accommodating and made a special order for me.,staff accommodating made special order,1
The restaurant had a great outdoor seating area.,restaurant great outdoor seating area,1
The burger was undercooked and pink in the middle.,burger undercooked pink middle,0
The staff was slow to take my order.,staff slow take order,0
The restaurant had a clean and well-stocked condiment area.,restaurant clean well stocked condiment area,1
The soda machine was out of order.,soda machine order,0
The staff was knowledgeable about the restaurant's history.,staff knowledgeable restaurant history,1
The restaurant had a unique and creative decor.,restaurant unique creative decor,1
The chicken wrap was a bit bland.,chicken wrap bit bland,0
The staff was courteous and polite.,staff courteous polite,0
The restaurant had a great value menu.,restaurant great value menu,1
The burger was too salty.,burger salty,0
The staff was efficient and polite.,staff efficient polite,1
The restaurant had a comfortable and relaxing atmosphere.,restaurant comfortable relaxing atmosphere,1
The chicken nuggets were hot and crispy.,chicken nugget hot crispy,1
